
السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
30796333950	34974564043	36009168173	33324888000	ـ المصروفات الاخرى	21500000
3026142048	3829918522	4756864976	3078543000	  =   جارية 	21510000
57784758	91602927	121378468	87588000	* ضرائب ورسوم	21510100
8228348	10295230	24068497	22414000	 x الضرائب الجمركية	21510101
29845264	54480622	58457729	32632000	 x ضريبة المبيعات	21510102
0	110622	123506	68000	 x رسوم تنمية الموارد	21510103
12222136	13278032	19764997	19536000	 x رسوم تراخيص السيارات	21510104
1666058	1901388	2607375	2548000	 x رسوم فحص العينات	21510105
86387	142227	191876	163000	 x ضرائب عقارية	21510106
3438	4	18000	28000	 x رسوم تسجيل	21510107
0	0	89000	89000	 x عمولات أو مصاريف نقل الملكية	21510108
5733127	11394802	16057488	10110000	 x أخرى	21510109
345136458	314424630	330895130	330258000	* اشــتراكات 	21510200
826671	980086	1413385	1222000	  xفى هيئات محلية	21510201
344309787	313444544	329481745	329036000	  xفى هيئات دولية	21510202
2623220832	3423890965	4304591378	2660697000	*  متنوعة 	21510300
423519750	686773231	777592293	275506000	 xتعويضات وغرامات	21510301
1352220	1267370	1375000	1375000	 xنفقات رأسمالية متنوعة	21510302
945290872	954931481	1540707348	965747000	 xفائض مرحل	21510303
1253057990	1780918883	1984916737	1418069000	 xتحويلات جارية وتخصيصية أخرى	21510304
27770191902	31144645521	31252303197	30246345000	   = المصروفات الاخرى الاجمالية والاحتياطيات العامة	21520000
27770191902	31144474561	31177965626	29431345000	* المصروفات الاخرى الاجمالية	21520100
26017891497	28738957818	28741303601	27300000000	ق  م  x	21520101
1736962690	2323489593	2336771817	2095521000	 xمصروفات أخرى اجماليــة مدرجة بموازنات الجهات	21520102
15337715	82027150	99890208	35824000	 xاعتمادات المصروفات الاخرى للحسابات والصناديق الخاصة  	21520103
0	170960	74337571	815000000	* المتطلبات الاضافية للمصروفات الاخرى	21520200
0	170960	74244571	815000000	  xاحتياطيات عامة للمصروفات الاخرى	21520201
0	0	93000	0	 xمتطلبات إضافية أخرى للمصروفات الاخرى	21520202
0	0	0	0	   = المصروفات الاخرى المستبعده	21530000
0	0	0	0	* المصروفات الاخرى المستبعدة بالتحصيل من شراء الأصول غير المالية  	21530100
0	0	0	0	 xالمصروفات الاخرى المستبعدة من مصادر أخرى  	21530101

السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
35917618247	39515915966	59607021550	55618438000	ـ شراء الأصول غير المالية (الأستثمارات)	21600000
28996988657	31930554848	51263398270	49297084000	   = الأصول الثابتة	21610000
28398392152	31404446937	49998597572	48118203000	*أستثمار مباشر (شاملة الرسوم الجمركية)	21610100
185364741	461592245	4688046163	7103442000	 xمبانى سكنية	21610101
5187343973	5349174248	11255832793	11749510000	 xمبانى غير سكنية	21610102
16045105806	16385166656	19449498660	17558025000	 xتشييدات	21610103
418512394	1038154915	1356134684	1051131000	 xوسائل نقل 	21610104
113866915	49017183	182863686	155344000	 xوسائل انتقال 	21610105
5504189738	7034283451	10876943641	8993309000	 xالآت ومعدات	21610106
91821766	134825569	239879474	148446000	 xعدد وادوات	21610107
829282466	912144939	1899240624	1332038000	 xتجهيزات	21610108
22904353	40087731	50157847	26958000	 xثروة حيوانية ومائية (أصول زراعية)	21610109
598596505	526107911	1264800698	1178881000	* نفقات إيرادية مؤجلة ( تشغيل )	21610200
0	0	0	0	 xمبانى سكنية	21610201
189830863	179360480	660883871	700130000	 xمبانى غير سكنية	21610202
172634351	66817343	123845424	88880000	 xتشييدات	21610203
3502854	4494598	7985305	6650000	 xوسائل نقل 	21610204
0	0	0	0	 xوسائل انتقال 	21610205
182291929	207788829	369238623	290225000	 xالآت ومعدات	21610206
5822096	9998528	16100693	14472000	 xعدد وادوات	21610207
18981347	30800749	53246182	48934000	 xتجهيزات	21610208
25533065	26847384	33500600	29590000	 xثروة حيوانية ومائية (أصول زراعية)	21610209
583400366	808729754	1059879829	945445000	  =  الأصول غير المنتجة	21620000
583400366	808729754	1059879829	945445000	*  أصول طبيعية	21620100
568098251	775825274	1026973919	922395000	  xشراء أراضى	21620101
15302115	32904480	32905910	23050000	 xتمهيد وأستصلاح أراضى	21620102
0	0	0	0	 xأصول طبيعية أخرى	21620103
 
التقسيم الأقتصادي
	الاستخدامات ( المصروفات ـ الحيازة ـ سداد القروض)	بالجنیھ
السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
6337229224	6776631364	7230372451	4725909000	  = أصول غير مالية أخرى	21630000
6337229224	6776631364	7230372451	4725909000	* متنوعة	21630100
78871537	32924894	60583695	59864000	  xفوائد سابقة على بدء التشغيل	21630101
263128215	259813410	546000000	792400000	  xالبعثات	21630102
1526795573	1712752102	2257609281	2185400000	  xابحاث ودراسات للمشروعات الاستثمارية	21630103
4468258899	4771140958	4336105786	1538245000	  xدفعات مقدمة	21630104
175000	0	30073689	150000000	  xتعويضات فروق الأسعار للمقاولين	21630105
0	0	53371000	650000000	   = شراء الاصول غير المالية الاجمالية والاحتياطيات العامة	21640000
0	0	0	0	* شراء الاصول غير المالية الاجمالية	21640100
0	0	0	0	 xشراء الاصول غير المالية اجماليــة مدرجة بموازنات الجهات	21640101
0	0	0	0	 xشراء الأصول غير المالية للحسابات والصناديق الخاصة	21640102
0	0	53371000	650000000	* المتطلبات الاضافية لشراء الاصول غير المالية	21640200
0	0	53371000	650000000	 xاختياطيات عامة لشراء الاصول غير المالية	21640201
0	0	0	0	 xمتطلبات إضافية أخرى لشراء الاصول غير المالية	21640202
3910005828	6310235785	8088510760	8074129000	# الحيازة من الاصول المالية 	22000000
3910005828	6310235785	8088510760	8074129000	ـ حيازة الاصول المالية المحلية والاجنبية	22700000
3601858113	6018056991	6404572357	3768143000	  =  حيازة الاصول المالية المحلية	22710000
100000000	0	0	0	*  أوراق مالية بخلاف الأسهم	22710100
0	0	0	0	 xسندات 	22710101
100000000	0	0	0	 xأخرى	22710103
315280298	790551486	854503000	134503000	* الاقراض	22710200
0	0	0	0	 xلبنك الاستثمار	22710201
76492162	35550000	86000000	86000000	 xللهيئات الاقتصادية	22710202
0	20000000	20000000	0	 xللشركات القابضة	22710203
41887000	0	0	0	 xلشركات قطاع الاعمال العام	22710204
0	0	0	0	 xلأجهزة الموازنة العامة (القروض الخارجية المعادأقراضها من الخزانة العامة)	22710206
196901136	735001486	748503000	48503000	 xلجهات أخرى	22710207
التقسيم الأقتصادي
	الاستخدامات ( المصروفات ـ الحيازة ـ سداد القروض)	بالجنیھ
السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
3186577815	5227505505	5549975550	3383640000	* مساهمات وحقوق ملكية	22710300
0	0	0	0	 xفى بنك الاستثمار	22710301
1920653750	3482397026	3769791290	1988000000	 xفى هيئات اقتصادية 	22710302
945000000	1059053101	1059053101	730000000	 xفى شركات قابضة	22710303
1337420	25000000	25000000	0	 xفى شركات قطاع أعمال عام	22710304
250000000	604000000	604000000	604000000	 xفى شركات قطاع عام	22710305
69586645	57055378	92131159	61640000	 xفى جهات أخرى	22710306
0	0	93807	250000000	* مساهمة الخزانة فى صندوق تمويل الهيكلة	22710400
0	0	93807	250000000	  xمساهمة الخزانة فى صندوق تمويل الهيكلة	22710401
268135590	292178794	1681661981	3005986000	  =  حيازة الاصول المالية الاجنبية	22720000
0	0	0	0	* أوراق مالية بخلاف الأسهم	22720100
0	0	0	0	 xسندات	22720101
0	0	0	0	 xأخرى	22720103
0	0	0	0	* الاقراض	22720200
0	0	0	0	  xلجهات أخرى 	22720201
268135590	292178794	1681661981	3005986000	* مساهمات وحقوق ملكية	22720300
268135590	292178794	1681661981	3005986000	 xفى جهات أخرى	22720301
40012125	0	2276422	1300000000	   = حيازة الاصول المالية الاجمالية والاحتياطيات العامة	22730000
0	0	0	0	* حيازة الاصول المالية الاجمالية	22730100
0	0	0	0	 xحيازة الاصول المالية اجماليــة مدرجة بموازنات الجهات	22730101
0	0	0	0	 xحيازة الاصول المالية للحسابات والصناديق الخاصة	22730102
40012125	0	2276422	1300000000	* المتطلبات الاضافية لحيازة الاصول المالية	22730200
40012125	0	2276422	1300000000	 xاحتياطيات عامة لحيازة الاصول المالية 	22730201
0	0	0	0	 xمتطلبات إضافية أخرى لحيازة الاصول المالية	22730202
التقسيم الأقتصادي
	الاستخدامات ( المصروفات ـ الحيازة ـ سداد القروض)	بالجنیھ
السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
36474841946	71328065666	93528256265	93517385000	#  سداد القروض 	23000000
36474841946	71328065666	93528256265	93517385000	ـ  سداد القروض المحلية والاجنبية	23800000
21143045313	60006347185	81842098388	81860002000	  =  سداد القروض واستهلاك الأوراق المالية المحلية	23810000
20500000000	45515346535	66515346535	77970500000	*  أستهلاك أوراق مالية بخلاف الأسهم	23810100
20500000000	45515346535	66515346535	77970500000	 xسندات على الخزانة العامة	23810101
0	0	0	0	  xاذون على الخزانة العامة	23810102
0	0	0	0	  xاخرى	23810103
643045313	14491000650	15326751853	3889502000	* سداد القروض	23810200
0	0	0	0	  xلبنك الاستثمار القومى	23810201
572805228	669815535	733607976	715692000	  xقروض خارجية معاد اقراضها عن طريق الخزانة	23810202
70240085	13821185115	14593143877	3173810000	  xلمصادر أخرى	23810203
0	0	0	0	*  حسابات أخرى مستحقة الدفع	23810300
0	0	0	0	 xمستحقات استثمارية	23810301
0	0	0	0	 xأخرى	23810302
15176198833	11208814859	11510692352	11490883000	  =  سداد القروض واستهلاك الأوراق المالية الأجنبية	23820000
0	0	0	0	*  أستهلاك أوراق مالية بخلاف الأسهم	23820100
0	0	0	0	  xسندات على الخزانة العامة	23820101
0	0	0	0	 xاذون على الخزانة العامة	23820102
0	0	0	0	 xاخرى	23820103
15176198833	11208814859	11510692352	11490883000	* سداد القروض الاجنبية	23820200
14766160289	10729156621	11027189938	11027333000	 xأقساط الدين العام الخارجى	23820201
410038544	479658238	483502414	463550000	 xأقساط خارجية تسددها الجهات	23820202
155597800	112903622	175465525	166500000	.= سداد القروض الاجمالية والاحتياطيات العامة	23830000
155597800	112903622	175465525	166500000	* سداد القروض الاجمالية	23830100
0	0	0	0	 xسداد القروض اجماليــة مدرجة بموازنات الجهات	23830101
155597800	112903622	175465525	166500000	 xسداد القروض للحسابات والصناديق الخاصة	23830102
0	0	0	0	* المتطلبات الاضافية لسداد القروض	23830200
0	0	0	0	 xمتطلبات إضافية أخرى لسداد القروض	23830201
 

السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
511376919466	665825819441	728454385758	635376325000	 المــــوارد	10000000
303621889009	350322154189	403386119558	393475847000	# الايرادات	11000000
207409753123	251118857674	266905591344	266905395000	ـ الضـــــرائب	11100000
91245107034	117761958138	121654000000	121654000000	  = الضرائب على الدخول والأرباح والمكاسب الرأسمالية	11110000
16009716884	19708248235	20835000000	20835000000	* الضرائب على الدخول من التوظف	11110100
13755614138	16912362036	18321000000	18321000000	 xالضرائب على المرتبات المحلية	11110101
0	0	0	0	 xالضرائب على رواتب العاملين بالخارج	11110102
2254102746	2795886199	2514000000	2514000000	 xضرائب الدمغة على الرواتب	11110103
0	0	0	0	 xرسم تنمية على المرتبات وما فى حكمها	11110104
5581867184	6435776335	9081000000	9081000000	* الضرائب على دخول الافراد بخلاف التوظف	11110200
317373848	332673984	581000000	581000000	 xالضرائب على المهن غير التجارية	11110201
0	0	0	0	 xرسم تنمية على صافى المهن غير التجارية 	11110202
5262588027	6099948625	8500000000	8500000000	 xضرائب النشاط التجارى والصناعى	11110203
0	0	0	0	 xرسم تنمية على صافى أرباح النشاط التجارى والصناعى 	11110204
0	0	0	0	 xنصيب المحليات من الضريبة على الأرباح التجارية والصناعية 	11110205
1801113	3134655	0	0	 xضرائب على الفائدة من السندات ( رؤوس أموال منقولة )	11110206
104196	19071	0	0	 xالضريبة العامة على الدخل	11110207
0	0	0	0	 xرسم تنمية على ما يمنح لرؤساء وأعضاء مجالس الإدارة من مبالغ تدخل ضمن إيرادات رؤوس الأموال المنقولة	11110208
0	0	0	0	 xايرادات أخرى	11110209
103893876	86634078	98000000	98000000	* الضرائب على الارباح الرأسمالية	11110300
103893876	86634078	98000000	98000000	 xضريبة الثروة العقارية	11110301
0	0	0	0	 xأخرى	11110302
69549629090	91531299490	89740000000	89740000000	* الضريبة على ارباح شركات الاموال 	11110400
34075230582	45816000000	45816000000	45816000000	 xمن هيئة البترول والشريك الاجنبى	11110401
11800000000	12150000000	14095000000	14095000000	 xمن قناة السويس	11110402
0	8290000000	0	0	 xمن البنك المركزى	11110403
23674320380	25275299490	29829000000	29829000000	 xباقى الشركات	11110404
78128	0	0	0	 xرسم تنمية على صافى أرباح الجهات المنصوص عليها فى المادة(111) من القانون رقم (157) لسنة 1981	11110405

السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
0	0	0	0	 xنصيب المحليات فى ضريبة قناة السويس	11110406
0	0	0	0	 xنصيب المحليات فى الضريبة على أرباح شركات الأموال	11110407
0	0	0	0	 xنصيب المحليات فى الصندوق المشترك	11110408
0	0	1900000000	1900000000	* أخرى متنوعة	11110500
0	0	1900000000	1900000000	 xأخري تنشيط حصيلة	11110501
13088694346	16453118442	19402540000	19402540000	  = الضرائب على الممتلكات	11120000
520409720	531007453	1004100000	1004100000	* ضرائب دوريه على الممتلكات 	11120100
174785990	184576419	252100000	252100000	 xضريبة الاراضى	11120101
345623730	346431034	752000000	752000000	 xضريبة المبانى	11120102
0	0	0	0	 xضرائب دورية على صافى الثروه	11120103
0	0	0	0	 xأخرى	11120105
10575368334	13905272844	15554000000	15554000000	* ضرائب على العمليات المالية التجارية والرأسمالية	11120200
672098753	736968263	700000000	700000000	 xرسوم نقل الملكية	11120201
9903269581	13168304581	14854000000	14854000000	 xالضرائب علي عوائد أذون وسندات الخزانة العامة	11120202
1992916292	2016838145	2844440000	2844440000	* ضرائب ورسوم على السيارات	11120300
1115661810	1126035624	1605000000	1605000000	 xرسوم تنمية على تسيير السيارات 	11120301
601486015	600948929	891000000	891000000	 xرسوم تنمية على السيارات الجديدة المنتجة محلياﹰ وجميع السيارات المستوردة من الخارج	11120302
234636062	271855891	319440000	319440000	 xضرائب ورسوم ذات صفة محلية على السيارات 	11120303
41132405	17997701	29000000	29000000	 xضرائب على السيارات الخاصة ( تضامن إجتماعى ) 	11120304
84594067838	92924442570	100702251344	100702055000	  = الضرائب على السلع والخدمات	11130000
37173714897	39495956960	43561000000	43561000000	* الضريبة العامة على المبيعات	11130100
15566279024	14037569632	19638000000	19638000000	 xعلى السلع المحلية	11130101
21607435873	25458387328	23923000000	23923000000	 xعلى البضائع المستوردة	11130102
9140778459	9767303574	12512670000	12512670000	* ضريبة المبيعات على الخدمات	11130200
1739626511	1996657281	2143000000	2143000000	  xالخدمات المقدمة فى الفنادق والمطاعم السياحية	11130201
3110335846	3409097447	4606670000	4606670000	  xخدمات التشغيل للغير	11130202
3928115240	3951888813	5245000000	5245000000	 xخدمات الاتصالات الدولية والمحلية	11130203
362700862	409660033	518000000	518000000	 xخدمات أخرى 	11130204

السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
25985032889	30481601481	27311230000	27311230000	* ضرائب على سلع جدول رقم "1" محلية  	11130300
0	2450	0	0	  xالشاى	11130301
63012486	47069110	123000000	123000000	 xالسكر	11130302
0	0	230000	230000	 xمياه غازيه	11130303
239028187	237652981	263000000	263000000	 xبيره	11130304
15949842959	17241557312	18886000000	18886000000	  xتبغ وسجائر	11130305
9120108416	12328437828	7270000000	7270000000	  xمنتجات بترولية	11130306
182954064	151233176	237000000	237000000	  xالكحول	11130307
402398988	445607281	509000000	509000000	  xالادوية	11130308
23793445	16679425	20000000	20000000	  xزيوت طعام نباتيه	11130309
3894344	13361918	3000000	3000000	  xزيوت وشحوم	11130310
0	0	0	0	  xاسمنت	11130311
70801222	48438520	100100000	100100000	* ضرائب على سلع جدول رقم "1"  المستوردة 	11130400
60008823	37251021	77000000	77000000	  xالشاى	11130401
0	0	0	0	 xالسكر	11130402
0	0	0	0	 xمياه غازيه	11130403
0	0	0	0	 xبيره	11130404
9140989	9325034	19300000	19300000	 xتبغ وسجائر	11130405
0	0	0	0	 xمنتجات بترولية	11130406
1651410	1862465	3800000	3800000	 xالكحول	11130407
0	0	0	0	 xالادوية	11130408
0	0	0	0	 xزيوت طعام نباتية	11130409
0	0	0	0	 xزيوت وشحوم	11130410
0	0	0	0	 xاسمنت	11130411
880114012	1091605771	1062114000	1062114000	* الضرائب على الخدمات الخاصة	11130500
161111249	214542033	290000000	290000000	 xضرائب على تذاكر السفر للخارج (تضامن اجتماعى) 	11130501
372501095	446652772	406000000	406000000	 xرسم تنمية على تذاكر السفر إلى الخارج الصادرة فى مصر بالعملة المحلية	11130502
63313435	74690207	109864000	109864000	 xضريبة الملاهى	11130503
41044930	89547679	0	0	 xالأتاوة على القمار	11130504
64718873	69841545	56000000	56000000	 xايرادات غرامات وتعويضات قانون الضريبة على الدخل	11130505
177336482	196264013	200000000	200000000	 xمقابل التأخير فى الضرائب	11130506
87948	67522	250000	250000	 xاخرى متنوعة	11130507

السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
5465197120	5248081170	8568100000	8568100000	* ضرائب الدمغة (عدا دمغة الماهيات )	11130600
103452731	120649394	110020000	110020000	 xالدمغة على النماذج المدموغة وطوابع الدمغة	11130601
383224542	410029144	557970000	557970000	 xالدمغة على التأمين	11130602
229183666	328933681	368030000	368030000	 xالدمغة على المراهنات واليانصيب	11130603
6679179	7082693	3990000	3990000	 xالدمغة على أعمال البورصة	11130604
330946150	595028294	978940000	978940000	 xالدمغة على عقود اشتراكات المياه والنور والغاز والتليفون	11130605
1277306607	739235065	1886760000	1886760000	 xالدمغة على استهلاك الغاز والكهرباء والبوتاجاز	11130606
393758122	467047586	727135000	727135000	 xالدمغة على الإعلانات	11130607
696253	62668	0	0	 xالدمغة على أوراق وزارة العدل	11130608
1962803	2129289	9980000	9980000	 xالدمغة على التصاريح والرخص الإدارية	11130609
57732	82689	0	0	 xالدمغة على بطاقات التموين	11130610
7043296	31057512	71000000	71000000	 xالدمغة على الشهادات والإقرارات	11130611
333076878	88552218	44040000	44040000	 xالدمغة على العقود وما فى حكمها	11130612
0	6698	0	0	 xالدمغة على وثائق الأحوال الشخصية	11130613
0	0	0	0	 xالدمغة على وثائق الملاحة التجارية	11130614
0	0	0	0	 xالدمغة على محاضر الشركات	11130615
0	0	0	0	 xالدمغة على الأوراق التجارية	11130616
9506034	13711702	19170000	19170000	 xالدمغة على الإيصالات والمخالصات والفواتير	11130617
1345249325	1105898318	1804080000	1804080000	 xالدمغة على الأعمال والمحررات المصرفية وما فى حكمها	11130618
6205483	8949941	5990000	5990000	 xالدمغة على خدمات النقل	11130619
23058	13669	0	0	 xالدمغة على تأسيس الشركات	11130620
0	0	0	0	 xالدمغة على شهادات وكشوف الوزن	11130621
0	0	0	0	 xالدمغة على الموازين والأجهزة الحاسبة	11130622
1036825261	1329610609	1980995000	1980995000	 xدمغة متنوعة	11130623
1316122039	1469441312	2408600000	2408600000	* رسم تنمية الموارد (عدا ما يزيد على00081وعدا رسم التنميةعلى السيارات)	11130700
116629190	103807595	109000000	109000000	 xرسم تنمية على جوازات السفر	11130701
1347281	2010054	1000000	1000000	 xرسم تنمية على إقامة الأجانب وما يتعلق بها	11130702
578751	4707689	400000	400000	 xرسم تنمية على طلب الحصول على الجنسية المصرية	11130703
571501884	639434182	909000000	909000000	 xرسم تنمية على مغادرة البلاد	11130704
2934101	1045460	2000000	2000000	 xرسم تنمية على رخص السلاح	11130705
61968343	65871319	117000000	117000000	 xرسم تنمية على المحررات وباقى الأوعية الخاضعة لضريبة الدمغة النوعية	11130706
1716529	1785108	1200000	1200000	 xرسم تنمية على استخراج صور المحررات من مصلحة الشهر العقارى	11130707
0	0	0	0	 xرسم تنمية على شهادات الإعفاء من التجنيد	11130708
19279351	20798687	24000000	24000000	 xرسم تنمية على الشراء من الأسواق الحرة	11130709

السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
29871268	32105978	43000000	43000000	 xرسم تنمية على الحفلات والخدمات الترفيهية  التى تقام فى الفنادق والمحلات العامة السياحية	11130710
1637731	1437923	1600000	1600000	 xرسم تنمية على الشاليهات والكباين والأكشاك التى تقع فى المصايف والمشاتى أيا كان نوعها	11130711
18783612	900640	400000	400000	 xرسم تنمية على موارد أخرى	11130712
489873998	595536677	1200000000	1200000000	 xرسم تنمية على المحاجر	11130713
4562307200	5322013782	5178437344	5178241000	* ضرائب على استخدام السلع والترخيص باستخدامها وتأدية الانشطة	11130800
1568371505	1617033562	1875700000	1875700000	 xالاتاوة على قناة السويس	11130801
356999	340887	1500000	1500000	 xالاتاوة على استخدام الطريق النهرى	11130802
21052681	54695848	35000000	35000000	 xرسوم ترخيص العمل للاجانب	11130803
110791123	119405182	140437344	140241000	 xإيرادات ورسوم ذات صفة محلية	11130804
503800769	536803403	418000000	418000000	 xالمصروفات الادارية للعمليات الاستيرادية	11130805
211000000	300000000	300000000	300000000	 xرسوم العبور ( سوميد )	11130806
930060248	952792771	950900000	950900000	 xرسوم الموانى والمنائر	11130807
1079893408	1386518601	1250000000	1250000000	 xرسوم الاجراءات القنصلية	11130808
3327839	2650277	6900000	6900000	 xرسوم حليج الاقطان	11130809
0	216295668	42000000	42000000	 xرسوم على جوازات السفر	11130810
126022872	128386338	150000000	150000000	 xرسوم تصاريح العمل	11130811
7629756	7091245	8000000	8000000	 xرسوم تحقيق الشخصية	11130812
14787982333	16771019631	20758800000	20758800000	  = ضرائب التجارة الدولية	11140000
14395506964	16054112663	20300000000	20300000000	* ضرائب على الواردات	11140100
13955247447	15625646038	19710000000	19710000000	 xضرائب جمركية قيمية	11140101
440259517	428466625	590000000	590000000	 xضرائب جمركية على السجائر والتبغ والدخان 	11140102
392475369	716906968	458800000	458800000	* ضرائب على التجارة الدولية أخرى	11140200
301523679	596757688	300000000	300000000	 xالضرائب على الصادر	11140201
0	0	0	0	 xنصيب المحليات فى الضريبة على الصادرات والواردات	11140203
0	0	27800000	27800000	 xالضريبة الجمركية المخصصة لدعم النقل البحرى	11140204
80640398	101772352	100000000	100000000	 xايرادات الغرامات 	11140205
10311292	18376928	31000000	31000000	 xايرادات المضبوطات	11140206
0	0	0	0	 xاخرى	11140207
3693901572	7208318893	4388000000	4388000000	  = ضرائب أخرى	11150000
3693901572	7208318893	4388000000	4388000000	* على الاعمال التجارية	11150100
3676297437	7203542927	4322500000	4322500000	 xايرادات رؤوس أموال منقولة من البنك المركزى 	11150101
17604135	4775966	65500000	65500000	 xايرادات رؤوس أموال منقولة من جهات اخرى	11150102
0	0	0	0	 xنصيب المحليات فى الضريبة على رؤوس الأموال المنقولة	11150103
0	0	0	0	 xالضرائب علي عوائد أذون الخزانة 	11150104

السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
10103734594	5207710611	10219892362	9021142000	ـ المنح	11200000
9338737497	4820550423	9073001232	8219567000	  = منح من حكومات أجنبية	11210000
8409381074	4127878340	7991442753	7878300000	* جارية	11210100
8409381074	4127878340	7991442753	7878300000	 xأخرى	11210101
929356423	692672083	1081558479	341267000	* رأسمالية	11210200
929356423	692672083	1081558479	341267000	 xلتمويل الأستثمارات	11210201
0	0	0	0	 xأخرى	11210202
94990454	111729222	503126086	399970000	  = منح من منظمات دولية	11220000
812671	1071460	27565800	27150000	* جارية	11220100
812671	1071460	27565800	27150000	 xأخرى	11220101
94177783	110657762	475560286	372820000	* رأسمالية	11220200
94177783	110657762	475560286	372820000	 xلتمويل الأستثمارات	11220201
0	0	0	0	 xأخرى	11220202
670006643	275430966	643765044	401605000	  = منح من جهات حكومية	11230000
61084740	75729016	109382904	103700000	* جارية	11230100
61084740	75729016	109382904	103700000	 xأخرى	11230101
608921903	199701950	534382140	297905000	* رأسمالية	11230200
608921903	199701950	534382140	297905000	 xلتمويل الأستثمارات	11230201
0	0	0	0	 xأخرى	11230202
86108401292	93995585904	126260635852	117549310000	ـ الإيرادات الأخرى	11300000
55979302736	56494130240	69972928000	69972928000	  = عوائد الملكية	11310000
1078191860	836884293	1784180000	1784180000	* الفوائد المحصلة	11310100
0	2494764	100000	100000	 xعلى السندات	11310101
3066195	2288246	3000000	3000000	 xعلى الإقراض	11310102
908925637	697810587	1619000000	1619000000	 xعلى إعادة الإقراض (تشمل فوائد القروض الخارجية المعاد أقراضها من الخزانة العامة)	11310103
148570075	133512070	161000000	161000000	 xفوائد دائنة	11310104
17629953	778626	1080000	1080000	 xأخرى	11310105

السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
52357687766	51935020327	64378636000	64378636000	* أرباح الأسهم	11310200
166150335	29856670	46000000	46000000	 xشركات القطاع الخاص	11310201
2206647704	1914469334	2907636000	2907636000	 xالهيئات الأقتصادية	11310202
15012408705	11316628482	10800000000	10800000000	 xالبنك المركزى	11310203
838206725	598103075	1500000000	1500000000	 xشركات القطاع العام	11310204
2986696162	2910949533	4500000000	4500000000	 xشركات قطاع الأعمال العام	11310205
15026478931	18785359201	25986000000	25986000000	 xهيئة البترول	11310206
16117549312	16374782000	18636000000	18636000000	 xقناة السويس	11310207
3549892	4872032	3000000	3000000	 xأرباح أوراق مالية	11310208
3077735014	3361118347	3410112000	3410112000	* عائد الإيجارات	11310300
2800000000	2933000000	2933200000	2933200000	 xاتاوة البترول	11310301
62585648	78004553	129041000	129041000	 xإيجار أراضى حكومية	11310302
122629265	195874748	187771000	187771000	 xإيرادات المناجم	11310303
36255269	74583827	39700000	39700000	 xإيرادات المرافق التى تديرها المحليات	11310304
290547	506315	400000	400000	 xإيرادات استغلال الأراضى السياحية	11310305
0	0	0	0	 xأخرى ( من هيئة البترول )	11310306
55974285	79148904	120000000	120000000	 xأتاوة الذهب	
534311904-	361107273	400000000	400000000	* عوائد ملكية أخرى	11310400
0	0	0	0	 xالرخصة الثالثة للمحمول	11310401
795600000-	361107273	0	0	 xالجيل الثالث للمحمول	11310402
261288096	0	400000000	400000000	 xمقابل رخص ( الأسمنت - الحديد )	11310403
0	0	0	0	 xمقابل رخصة التليفون الثابت	11310404
0	0	0	0	 xمقابل حق استغلال حقوق البترول	11310405
17819345547	22732995055	22882954905	17104169000	  =  حصيلة بيع السلع والخدمات	11320000
17788995140	22707928691	22860006905	17081221000	* إيرادات الخدمات	11320100
830149227	1025050341	1693345314	1679512000	 xرسوم قضائية وغرامات (خدمات العدالة عدا رسوم نقل الملكية)	11320101
95496253	102498005	227635000	227635000	 xرسوم قيد وتسجيل ورقابة واشراف	11320102
183031146	71387470	193000000	193000000	 xالخدمات الجمركية	11320103

السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
171044360	150964432	222424464	220017000	 xالخدمات الزراعية	11320104
115326841	112140546	158675000	158675000	 xالخدمات التعليمية	11320105
