
السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
1315323	1441989	2473472	2485000	 x بدل انتقال نقدى ثابت ونظير عدم تخصيص سيارات ركوب حكومية	21110440
212	0	64654	39000	 x بدل قضاء	21110441
22807307	2870486798	2931041729	26331000	 x بدل جامعة	21110442
94300708	111053429	113411000	88161000	 x بدل يخص العلاقات الثقافية والتعاون الخارجى	21110443
402428	421485	501678	599000	 x بدل تفرغ فنانين تشكيلين	21110444
2805740415	3145726960	3149886953	3007118000	 x بدل معلم ( تدريس )	21110445
4373861956	7214429863	7065012156	4495081000	 x بدل اعتماد ( معلمين )	21110446
2795207458	2188664372	2385904911	1728617000	 x بدلات مختلفة أخرى	21110447
	البيــــــــان	2012/2013	السنة المقارنة 
الكود الاقتصادي	الربط 	الربط المعدل	فعلى 	2011/2012
11396867000	11680830896	11885082504	10807970000	*  مزايــــا نقـــديــة	21110500
0	0	0	0	x اعانة غلاء المعيشة	21110501
199003131	206090835	224298958	228122000	x علاوة اجتماعــية 	21110502
207101110	204515296	214026503	224240000	x علاوة اجتماعية اضافية	21110503
1719550	1726027	2134375	2125000	الش x هتكراليىف تعويض العاملات بما يعادل 25% من المرتب 	21110504
10444014893	10691243817	10837452575	9725227000	x العلاوة الخاصة	21110505
530545177	562981015	592465684	614068000	x المنحة الشهرية	21110506
14483139	14273906	14704409	14188000	x مزايا نقدية أخرى	21110507
2509054853	1914760322	1946380400	2667442000	* المزايــا العينيــة	21110600
995224578	907253209	924734669	1050820000	x أغذية للعاملين	21110601
610403772	417466356	424925016	642368000	x ملابس للعاملين	21110602
677687986	553171681	556824562	747126000	x علاج طبى للعاملين	21110603
198774363	25062528	27582926	199619000	x خدمات اجتماعية ورياضية للعاملين	21110604
26964154	11806548	12313227	27509000	 x اخـــرى 	21110605
11589207392	13675064299	14158035721	12507905000	  = المزايا التأمينية	21120000
10306403435	12100313814	12475860555	10895522000	* حصة الحكومة فى صندوق التأمين الاجتماعى للحكومة	21120100
9755099394	11390628038	11725110732	10211859000	x التأمين ضد الشيخوخة والعجز والوفاة	21120101
441498773	578162073	609164637	561882000	x حصة الحكومة فى اشتراكات نظام المكافات	21120102
0	240509	0	2000	x اشتراكات المدة السابقة	21120103
109805268	131283194	141585186	121779000	x تكاليف مساهمة الحكومة فى التأمين على العاملات فى اجازة لرعاية أطفالهن	21120104
1282803957	1574750485	1682175166	1612383000	* مزايا تأمينية أخرى	21120200
620531528	789212020	852261896	821292000	x التأمين ضد المرض	21120201
662272429	785538465	829913270	791091000	x التأمين ضد اصابة العمل	21120202
11303227646	11085288004	11800551939	15932348000	  = الاجورالاجمالية والاحتياطيات العامة	21130000
11298227646	11085288004	10923757715	8274348000	* الاجور الاجمالية	21130100
8410363315	9278737583	9033557598	7254438000	x أجور اجماليــة مدرجة بموازنات الجهات	21130101
